Begin Header
Date,01/03/2002 2:48:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,593
StartValue,350
EndValue,700
Steps,0,5
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,400
CoolerFilter,False
CoolerTemp,295,9
End Header
nm,Value
350.1,0.05156
350.7,0.05262
351.3,0.05293
351.9,0.0479
352.5,0.05651
353.1,0.04986
353.7,0.05157
354.2,0.04817
354.8,0.04855
355.4,0.05402
356,0.05177
356.6,0.05309
357.2,0.04993
357.8,0.04837
358.4,0.04559
358.9,0.06336
359.5,0.05276
360.1,0.05522
360.7,0.05445
361.3,0.05365
361.9,0.05445
362.5,0.05582
363,0.05397
363.6,0.05366
364.2,0.04902
364.8,0.05416
365.4,0.05915
366,0.05365
366.6,0.0501
367.2,0.04726
367.7,0.04972
368.3,0.05541
368.9,0.05529
369.5,0.05261
370.1,0.05398
370.7,0.04448
371.3,0.04929
371.9,0.04584
372.4,0.04663
373,0.04206
373.6,0.04118
374.2,0.04433
374.8,0.04663
375.4,0.0443
376,0.04536
376.6,0.04642
377.2,0.04808
377.7,0.03686
378.3,0.0364
378.9,0.04008
379.5,0.05895
380.1,0.0492
380.7,0.04346
381.3,0.03974
381.9,0.04281
382.5,0.03691
383,0.04148
383.6,0.04041
384.2,0.04215
384.8,0.03982
385.4,0.04733
386,0.05174
386.6,0.05322
387.2,0.05015
387.8,0.04624
388.3,0.04297
388.9,0.04429
389.5,0.04358
390.1,0.038
390.7,0.03714
391.3,0.03859
391.9,0.03842
392.5,0.03478
393,0.03168
393.6,0.03364
394.2,0.03489
394.8,0.03748
395.4,0.0368
396,0.04269
396.6,0.04902
397.2,0.05002
397.8,0.04176
398.3,0.04201
398.9,0.04806
399.5,0.05251
400.1,0.04882
400.7,0.03722
401.3,0.03855
401.9,0.03804
402.5,0.04143
403.1,0.04099
403.6,0.03851
404.2,0.04005
404.8,0.03422
405.4,0.03659
406,0.05121
406.6,0.07549
407.2,0.06721
407.8,0.05064
408.3,0.05263
408.9,0.04149
409.5,0.04316
410.1,0.0739
410.7,0.05257
411.3,0.03587
411.9,0.03372
412.5,0.03446
413,0.03783
413.6,0.03254
414.2,0.0344
414.8,0.03192
415.4,0.03353
416,0.04174
416.6,0.04307
417.2,0.0478
417.8,0.06579
418.3,0.04407
418.9,0.03631
419.5,0.03851
420.1,0.05302
420.7,0.06015
421.3,0.04658
421.9,0.03621
422.5,0.03907
423,0.03293
423.6,0.03051
424.2,0.03074
424.8,0.02928
425.4,0.02617
426,0.02677
426.6,0.02634
427.2,0.02669
427.7,0.02825
428.3,0.0276
428.9,0.02929
429.5,0.09767
430.1,0.04856
430.7,0.03157
431.3,0.0287
431.9,0.02953
432.5,0.02651
433,0.03424
433.6,0.1584
434.2,0.1961
434.8,0.03213
435.4,0.02531
436,0.02638
436.6,0.02572
437.2,0.02399
437.8,0.02715
438.3,0.02868
438.9,0.02981
439.5,0.02897
440.1,0.03038
440.7,0.03756
441.3,0.05305
441.9,0.04372
442.5,0.03689
443.1,0.02854
443.7,0.03111
444.3,0.03692
444.8,0.04811
445.4,0.0482
446,0.04658
446.6,0.03751
447.2,0.03663
447.8,0.036
448.4,0.03908
449,0.04474
449.6,0.04681
450.2,0.04855
450.8,0.03345
451.3,0.03478
451.9,0.03677
452.5,0.03667
453.1,0.03753
453.7,0.03684
454.3,0.03113
454.9,0.03212
455.5,0.03967
456.1,0.04165
456.7,0.04673
457.2,0.05508
457.8,0.06717
458.4,0.04926
459,0.02377
459.6,0.02458
460.2,0.02417
460.8,0.02414
461.4,0.02646
462,0.03072
462.6,0.05093
463.2,0.0895
463.7,0.07934
464.3,0.02661
464.9,0.02899
465.5,0.03045
466.1,0.0403
466.7,0.04051
467.3,0.03764
467.9,0.0397
468.5,0.04872
469.1,0.03525
469.7,0.0238
470.2,0.02277
470.8,0.02862
471.4,0.03476
472,0.04108
472.6,0.03581
473.2,0.02093
473.8,0.02135
474.4,0.02286
475,0.02138
475.6,0.02058
476.2,0.02286
476.7,0.02591
477.3,0.02591
477.9,0.02734
478.5,0.02843
479.1,0.0312
479.7,0.03306
480.3,0.02758
480.9,0.02713
481.5,0.02777
482.1,0.02489
482.7,0.02646
483.2,0.02583
483.8,0.02774
484.4,0.03237
485,0.04099
485.6,0.3165
486.2,0.9656
486.8,0.3509
487.4,0.05198
488,0.03649
488.6,0.02591
489.1,0.02548
489.7,0.02438
490.3,0.02252
490.9,0.02325
491.5,0.0228
492.1,0.02747
492.7,0.05601
493.3,0.07787
493.9,0.06033
494.5,0.02368
495.1,0.02384
495.6,0.02746
496.2,0.02591
496.8,0.02775
497.4,0.03581
498,0.02697
498.6,0.0187
499.2,0.01906
499.8,0.02153
500.4,0.02805
