Begin Header
Date,01/03/2002 2:30:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,763
StartValue,300
EndValue,750
Steps,0,5
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,100
CoolerFilter,False
CoolerTemp,295,5
End Header
nm,Value
300,-0.02953
300.5,-0.04882
301.1,-0.03457
301.7,-0.06008
302.3,-0.03943
302.8,0.004951
303.4,-0.02124
304,-0.02272
304.6,-0.004445
305.1,-0.01782
305.7,-0.03177
306.3,-0.02534
306.9,-0.04118
307.5,-0.008595
308,-0.012
308.6,0.03035
309.2,-0.09363
309.8,-0.008051
310.3,-0.03796
310.9,0.000372
311.5,-0.01551
312.1,-0.002556
312.6,-0.003024
313.2,0.01292
313.8,0.008385
314.4,-0.002661
315,-0.008089
315.6,0.01887
316.2,0.005781
316.7,0.02223
317.3,0.03046
317.9,0.2289
318.5,0.2481
319.1,0.08499
319.7,0.03028
320.3,0.0182
320.8,-0.01372
321.4,0.02215
322,0.02554
322.6,-0.005628
323.2,-0.005447
323.8,0.008347
324.4,-0.0003434
324.9,0.001784
325.5,-0.009568
326.1,0.006191
326.7,0.01988
327.3,0.02168
327.9,0.0007727
328.5,0.01454
329,0.01784
329.6,0.002556
330.2,0.02587
330.8,-0.00145
331.4,-0.0009634
332,0.01146
332.6,0.009024
333.1,0.008929
333.7,0.01766
334.3,0.02402
334.9,-0.012
335.5,-0.001584
336.1,-0.00146
336.7,0.0009444
337.3,-0.02354
337.8,-0.02466
338.4,-0.02071
339,-0.006696
339.6,-0.01931
340.2,0.02543
340.8,0.003177
341.4,-0.002032
341.9,-0.02035
342.5,-0.01358
343.1,0.02723
343.7,-0.001793
344.3,0.0146
344.9,-0.02244
345.5,-0.0269
346,-0.006315
346.6,-0.00538
347.2,0.002585
347.8,-0.01113
348.4,-0.007507
349,0.004035
349.6,0.03379
350.1,0.03538
350.7,0.02619
351.3,0.0226
351.9,-0.01844
352.5,0.01315
353.1,0.02499
353.7,0.02168
354.2,-0.007212
354.8,0.004321
355.4,-0.006954
356,0.006048
356.6,-0.0219
357.2,-0.01005
357.8,-0.02251
358.4,-0.02182
358.9,-0.004522
359.5,0.002413
360.1,-0.003577
360.7,0.01523
361.3,-0.0006677
361.9,-0.02938
362.5,-0.0008776
363,-0.004302
363.6,-0.01419
364.2,-0.01011
364.8,0.004417
365.4,-0.009415
366,0.0004102
366.6,-0.00206
367.2,0.005371
367.7,0.003863
368.3,-0.002833
368.9,-0.005809
369.5,0.002432
370.1,0.01294
370.7,0.005113
371.3,-0.00848
371.9,0.005466
372.4,0.005409
373,0.002757
373.6,-0.02298
374.2,-0.0106
374.8,0.007593
375.4,-0.005676
376,-0.005533
376.6,-0.009911
377.2,-0.001326
377.7,-0.004321
378.3,-0.0006105
378.9,-0.003949
379.5,-0.01461
380.1,0.008394
380.7,-0.001078
381.3,0.01435
381.9,0.05992
382.5,0.02185
383,0.01119
383.6,0.02176
384.2,0.023
384.8,0.01473
385.4,0.001917
386,0.003568
386.6,0.01942
387.2,0.02424
387.8,0.02913
388.3,4.444
388.9,7.082
389.5,0.5765
390.1,0.08597
390.7,0.03959
391.3,0.009816
391.9,0.01538
392.5,0.009577
393,-0.0008108
393.6,0.008576
394.2,0.006773
394.8,0.0008108
395.4,-0.0005533
396,0.1061
396.6,0.1011
397.2,0.01297
397.8,-0.003405
398.3,0.002165
398.9,0.0009444
399.5,-0.0005533
400.1,0.003682
400.7,0.006525
401.3,0.003386
401.9,0.02196
402.5,0.256
403.1,0.1507
403.6,-0.0005246
404.2,-0.009863
404.8,0.0002099
405.4,-0.0008585
406,0.00332
406.6,-0.006248
407.2,-0.01005
407.8,-0.009778
408.3,-0.01441
408.9,-0.01382
409.5,-0.01353
410.1,-0.01069
410.7,-0.005599
411.3,0.002175
411.9,0.05135
412.5,0.04326
413,0.002289
413.6,0.01071
414.2,0.02092
414.8,0.009482
415.4,0.0107
416,0.01458
416.6,0.005847
417.2,0.007192
417.8,-0.001059
418.3,-0.00414
418.9,-0.005876
419.5,-0.008738
420.1,-0.0005628
420.7,-0.003043
421.3,0.0008299
421.9,-0.001946
422.5,0.001498
423,-0.0003434
423.6,0.006181
424.2,-0.002022
424.8,0.001154
425.4,-0.005695
426,-0.005609
426.6,-0.008156
427.2,-0.001631
427.7,-0.003024
428.3,-0.0004865
428.9,-0.004646
429.5,0.007383
430.1,-6.677E-05
430.7,-0.001564
431.3,0.001479
431.9,-0.001755
432.5,-0.0004197
433,-0.002576
433.6,-0.002566
434.2,0.0008204
434.8,-0.008127
435.4,0.0007822
436,0.005876
436.6,-0.0005628
437.2,-0.005227
437.8,-0.00475
438.3,0.03925
438.9,0.0787
439.5,0.01613
440.1,0.007641
