Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

3,83	1,94	4,5	6,0	5,5
3,85	1,93	4,5	6,0	5,5
3,88	1,93	4,5	6,0	5,5
3,90	1,95	4,5	6,0	5,5
3,93	1,97	4,5	6,0	5,5
3,95	1,95	4,5	6,0	5,5
3,98	1,97	4,5	6,0	5,5
4,00	1,99	4,5	6,0	5,5
4,02	2,00	4,5	6,0	5,5
4,05	1,99	4,5	6,0	5,5
4,07	2,02	4,5	6,0	5,5
4,10	2,04	4,5	6,0	5,5
4,12	2,02	4,5	6,0	5,5
4,15	2,03	4,5	6,0	5,5
4,17	2,06	4,5	6,0	5,5
4,20	2,05	4,5	6,0	5,5
4,22	2,04	4,5	6,0	5,5
4,24	2,06	4,5	6,0	5,5
4,27	2,08	4,5	6,0	5,5
4,29	2,06	4,5	6,0	5,5
4,32	2,07	4,5	6,0	5,5
4,34	2,09	4,5	6,0	5,5
4,37	2,10	4,5	6,0	5,5
4,39	2,10	4,5	6,0	5,5
4,42	2,12	4,5	6,0	5,5
4,44	2,14	4,5	6,0	5,5
4,46	2,13	4,5	6,0	5,5
4,49	2,13	4,5	6,0	5,5
4,51	2,16	4,5	6,0	5,5
4,54	2,16	4,5	6,0	5,5
4,56	2,15	4,5	6,0	5,5
4,59	2,17	4,5	6,0	5,5
4,61	2,18	4,5	6,0	5,5
4,63	2,17	4,5	6,0	5,5
4,66	2,16	4,5	6,0	5,5
4,68	2,19	4,5	6,0	5,5
4,71	2,20	4,5	6,0	5,5
4,73	2,19	4,5	6,0	5,5
4,76	2,21	4,5	6,0	5,5
4,78	2,24	4,5	6,0	5,5
4,81	2,23	4,5	6,0	5,5
4,83	2,22	4,5	6,0	5,5
4,85	2,25	4,5	6,0	5,5
4,88	2,27	4,5	6,0	5,5
4,90	2,25	4,5	6,0	5,5
4,93	2,25	4,5	6,0	5,5
4,95	2,28	4,5	6,0	5,5
4,98	2,28	4,5	6,0	5,5
5,00	2,26	4,5	6,0	5,5
5,03	2,29	4,5	6,0	5,5
5,05	2,30	4,5	6,0	5,5
5,07	2,29	4,5	6,0	5,5
5,10	2,29	4,5	6,0	5,5
5,12	2,32	4,5	6,0	5,5
5,15	2,32	4,5	6,0	5,5
5,17	2,32	4,5	6,0	5,5
5,20	2,34	4,5	6,0	5,5
5,22	2,36	4,5	6,0	5,5
5,25	2,34	4,5	6,0	5,5
5,27	2,35	4,5	6,0	5,5
5,29	2,38	4,5	6,0	5,5
5,32	2,38	4,5	6,0	5,5
5,34	2,37	4,5	6,0	5,5
5,37	2,39	4,5	6,0	5,5
5,39	2,40	4,5	6,0	5,5
5,42	2,40	4,5	6,0	5,5
5,44	2,39	4,5	6,0	5,5
5,47	2,43	4,5	6,0	5,5
5,49	2,43	4,5	6,0	5,5
5,51	2,41	4,5	6,0	5,5
5,54	2,43	4,5	6,0	5,5
5,56	2,45	4,5	6,0	5,5
5,59	2,44	4,5	6,0	5,5
5,61	2,44	4,5	6,0	5,5
5,64	2,47	4,5	6,0	5,5
5,66	2,49	4,5	6,0	5,5
5,68	2,47	4,5	6,0	5,5
5,71	2,49	4,5	6,0	5,5
5,73	2,51	4,5	6,0	5,5
5,76	2,51	4,5	6,0	5,5
5,78	2,50	4,5	6,0	5,5
5,81	2,52	4,5	6,0	5,5
5,83	2,54	4,5	6,0	5,5
5,86	2,52	4,5	6,0	5,5
5,88	2,53	4,5	6,0	5,5
5,90	2,55	4,5	6,0	5,5
5,93	2,55	4,5	6,0	5,5
5,95	2,54	4,5	6,0	5,5
5,98	2,56	4,5	6,0	5,5
6,00	2,58	4,5	6,0	5,5
6,03	2,55	4,5	6,0	5,5
6,05	2,57	4,5	6,0	5,5
6,08	2,60	4,5	6,0	5,5
6,10	2,60	4,5	6,0	5,5
6,12	2,59	4,5	6,0	5,5
6,15	2,62	4,5	6,0	5,5
6,17	2,63	4,5	6,0	5,5
6,20	2,62	4,5	6,0	5,5
6,22	2,62	4,5	6,0	5,5
6,25	2,65	4,5	6,0	5,5
6,27	2,64	4,5	6,0	5,5
6,30	2,63	4,5	6,0	5,5
6,32	2,64	4,5	6,0	5,5
6,34	2,67	4,5	6,0	5,5
6,37	2,65	4,5	6,0	5,5
6,39	2,65	4,5	6,0	5,5
6,42	2,68	4,5	6,0	5,5
6,44	2,69	4,5	6,0	5,5
6,47	2,68	4,5	6,0	5,5
6,49	2,70	4,5	6,0	5,5
6,52	2,72	4,5	6,0	5,5
6,54	2,72	4,5	6,0	5,5
6,56	2,72	4,5	6,0	5,5
6,59	2,75	4,5	6,0	5,5
6,61	2,75	4,5	6,0	5,5
6,64	2,74	4,5	6,0	5,5
6,66	2,74	4,5	6,0	5,5
6,69	2,77	4,5	6,0	5,5
6,71	2,76	4,5	6,0	5,5
6,73	2,75	4,5	6,0	5,5
6,76	2,78	4,5	6,0	5,5
6,78	2,78	4,5	6,0	5,5
6,81	2,77	4,5	6,0	5,5
6,83	2,77	4,5	6,0	5,5
6,86	2,80	4,5	6,0	5,5
6,88	2,80	4,5	6,0	5,5
6,91	2,79	4,5	6,0	5,5
6,93	2,82	4,5	6,0	5,5
6,95	2,83	4,5	6,0	5,5
6,98	2,82	4,5	6,0	5,5
7,00	2,83	4,5	6,0	5,5
7,03	2,85	4,5	6,0	5,5
7,05	2,85	4,5	6,0	5,5
7,08	2,83	4,5	6,0	5,5
7,10	2,85	4,5	6,0	5,5
7,13	2,86	4,5	6,0	5,5
7,15	2,85	4,5	6,0	5,5
7,17	2,85	4,5	6,0	5,5
7,20	2,88	4,5	6,0	5,5
7,22	2,88	4,5	6,0	5,5
7,25	2,86	4,5	6,0	5,5
7,27	2,88	4,5	6,0	5,5
7,30	2,90	4,5	6,0	5,5
7,32	2,90	4,5	6,0	5,5
7,35	2,90	4,5	6,0	5,5
7,37	2,93	4,5	6,0	5,5
7,39	2,94	4,5	6,0	5,5
7,42	2,92	4,5	6,0	5,5
7,44	2,94	4,5	6,0	5,5
7,47	2,95	4,5	6,0	5,5
7,49	2,94	4,5	6,0	5,5
7,52	2,94	4,5	6,0	5,5
7,54	2,95	4,5	6,0	5,5
7,57	2,96	4,5	6,0	5,5
7,59	2,95	4,5	6,0	5,5
7,61	2,96	4,5	6,0	5,5
7,64	2,99	4,5	6,0	5,5
7,66	2,98	4,5	6,0	5,5
7,69	2,97	4,5	6,0	5,5
7,71	3,00	4,5	6,0	5,5
7,74	3,01	4,5	6,0	5,5
7,76	3,00	4,5	6,0	5,5
7,78	3,01	4,5	6,0	5,5
7,81	3,03	4,5	6,0	5,5
7,83	3,03	4,5	6,0	5,5
7,86	3,02	4,5	6,0	5,5
7,88	3,04	4,5	6,0	5,5
7,91	3,05	4,5	6,0	5,5
7,93	3,04	4,5	6,0	5,5
7,96	3,03	4,5	6,0	5,5
7,98	3,06	4,5	6,0	5,5
8,00	3,06	4,5	6,0	5,5
8,03	3,05	4,5	6,0	5,5
8,05	3,07	4,5	6,0	5,5
8,08	3,10	4,5	6,0	5,5
8,10	3,08	4,5	6,0	5,5
8,13	3,09	4,5	6,0	5,5
8,15	3,12	4,5	6,0	5,5
8,18	3,12	4,5	6,0	5,5
8,20	3,10	4,5	6,0	5,5
8,22	3,12	4,5	6,0	5,5
8,25	3,14	4,5	6,0	5,5
8,27	3,13	4,5	6,0	5,5
8,30	3,12	4,5	6,0	5,5
8,32	3,15	4,5	6,0	5,5
8,35	3,15	4,5	6,0	5,5
8,37	3,13	4,5	6,0	5,5
8,40	3,14	4,5	6,0	5,5
8,42	3,17	4,5	6,0	5,5
8,44	3,16	4,5	6,0	5,5
8,47	3,15	4,5	6,0	5,5
8,49	3,18	4,5	6,0	5,5
8,52	3,19	4,5	6,0	5,5
8,54	3,18	4,5	6,0	5,5
8,57	3,19	4,5	6,0	5,5
8,59	3,21	4,5	6,0	5,5
8,62	3,20	4,5	6,0	5,5
8,64	3,18	4,5	6,0	5,5
8,66	3,21	4,5	6,0	5,5
8,69	3,22	4,5	6,0	5,5
8,71	3,21	4,5	6,0	5,5
8,74	3,20	4,5	6,0	5,5
8,76	3,23	4,5	6,0	5,5
8,79	3,23	4,5	6,0	5,5
8,81	3,21	4,5	6,0	5,5
8,84	3,23	4,5	6,0	5,5
8,86	3,24	4,5	6,0	5,5
8,88	3,23	4,5	6,0	5,5
8,91	3,23	4,5	6,0	5,5
8,93	3,25	4,5	6,0	5,5
8,96	3,26	4,5	6,0	5,5
8,98	3,25	4,5	6,0	5,5
9,01	3,27	4,5	6,0	5,5
9,03	3,28	4,5	6,0	5,5
9,05	3,27	4,5	6,0	5,5
9,08	3,26	4,5	6,0	5,5
9,10	3,29	4,5	6,0	5,5
9,13	3,29	4,5	6,0	5,5
9,15	3,28	4,5	6,0	5,5
9,18	3,29	4,5	6,0	5,5
9,20	3,32	4,5	6,0	5,5
9,23	3,30	4,5	6,0	5,5
9,25	3,30	4,5	6,0	5,5
9,27	3,32	4,5	6,0	5,5
9,30	3,33	4,5	6,0	5,5
9,32	3,31	4,5	6,0	5,5
9,35	3,33	4,5	6,0	5,5
9,37	3,35	4,5	6,0	5,5
9,40	3,35	4,5	6,0	5,5
9,42	3,34	4,5	6,0	5,5
9,45	3,37	4,5	6,0	5,5
9,47	3,38	4,5	6,0	5,5
9,49	3,35	4,5	6,0	5,5
9,52	3,36	4,5	6,0	5,5
9,54	3,38	4,5	6,0	5,5
9,57	3,37	4,5	6,0	5,5
9,59	3,37	4,5	6,0	5,5
9,62	3,38	4,5	6,0	5,5
9,64	3,39	4,5	6,0	5,5
9,67	3,38	4,5	6,0	5,5
9,69	3,38	4,5	6,0	5,5
9,71	3,41	4,5	6,0	5,5
9,74	3,40	4,5	6,0	5,5
9,76	3,39	4,5	6,0	5,5
9,79	3,40	4,5	6,0	5,5
9,81	3,43	4,5	6,0	5,5
9,84	3,42	4,5	6,0	5,5
9,86	3,42	4,5	6,0	5,5
9,89	3,44	4,5	6,0	5,5
9,91	3,44	4,5	6,0	5,5
9,93	3,42	4,5	6,0	5,5
9,96	3,43	4,5	6,0	5,5
9,98	3,45	4,5	6,0	5,5
10,01	3,44	4,5	6,0	5,5
10,03	3,43	4,5	6,0	5,5
10,06	3,46	4,5	6,0	5,5
10,08	3,46	4,5	6,0	5,5
10,10	3,44	4,5	6,0	5,5
10,13	3,46	4,5	6,0	5,5
10,15	3,48	4,5	6,0	5,5
10,18	3,47	4,5	6,0	5,5
10,20	3,46	4,5	6,0	5,5
10,23	3,49	4,5	6,0	5,5
10,25	3,50	4,5	6,0	5,5
10,28	3,49	4,5	6,0	5,5
10,30	3,50	4,5	6,0	5,5
10,32	3,52	4,5	6,0	5,5
10,35	3,51	4,5	6,0	5,5
10,37	3,49	4,5	6,0	5,5
10,40	3,51	4,5	6,0	5,5
10,42	3,52	4,5	6,0	5,5
10,45	3,51	4,5	6,0	5,5
10,47	3,52	4,5	6,0	5,5
10,50	3,54	4,5	6,0	5,5
10,52	3,54	4,5	6,0	5,5
10,54	3,53	4,5	6,0	5,5
10,57	3,55	4,5	6,0	5,5
10,59	3,56	4,5	6,0	5,5
10,62	3,54	4,5	6,0	5,5
10,64	3,55	4,5	6,0	5,5
10,67	3,57	4,5	6,0	5,5
10,69	3,57	4,5	6,0	5,5
10,72	3,55	4,5	6,0	5,5
10,74	3,57	4,5	6,0	5,5
10,76	3,59	4,5	6,0	5,5
10,79	3,57	4,5	6,0	5,5
10,81	3,56	4,5	6,0	5,5
10,84	3,58	4,5	6,0	5,5
10,86	3,59	4,5	6,0	5,5
10,89	3,57	4,5	6,0	5,5
10,91	3,59	4,5	6,0	5,5
10,94	3,61	4,5	6,0	5,5
10,96	3,59	4,5	6,0	5,5
10,98	3,59	4,5	6,0	5,5
11,01	3,60	4,5	6,0	5,5
11,03	3,61	4,5	6,0	5,5
11,06	3,59	4,5	6,0	5,5
11,08	3,60	4,5	6,0	5,5
11,11	3,62	4,5	6,0	5,5
11,13	3,61	4,5	6,0	5,5
11,15	3,61	4,5	6,0	5,5
11,18	3,63	4,5	6,0	5,5
11,20	3,63	4,5	6,0	5,5
11,23	3,61	4,5	6,0	5,5
11,25	3,62	4,5	6,0	5,5
11,28	3,64	4,5	6,0	5,5
11,30	3,63	4,5	6,0	5,5
11,33	3,62	4,5	6,0	5,5
11,35	3,64	4,5	6,0	5,5
11,37	3,65	4,5	6,0	5,5
11,40	3,63	4,5	6,0	5,5
11,42	3,65	4,5	6,0	5,5
11,45	3,67	4,5	6,0	5,5
11,47	3,66	4,5	6,0	5,5
11,50	3,64	4,5	6,0	5,5
11,52	3,66	4,5	6,0	5,5
11,55	3,68	4,5	6,0	5,5
11,57	3,67	4,5	6,0	5,5
11,59	3,66	4,5	6,0	5,5
11,62	3,69	4,5	6,0	5,5
11,64	3,68	4,5	6,0	5,5
11,67	3,66	4,5	6,0	5,5
11,69	3,67	4,5	6,0	5,5
11,72	3,70	4,5	6,0	5,5
11,74	3,68	4,5	6,0	5,5
11,77	3,68	4,5	6,0	5,5
11,79	3,70	4,5	6,0	5,5
11,81	3,71	4,5	6,0	5,5
11,84	3,69	4,5	6,0	5,5
11,86	3,71	4,5	6,0	5,5
11,89	3,73	4,5	6,0	5,5
11,91	3,72	4,5	6,0	5,5
11,94	3,71	4,5	6,0	5,5
11,96	3,73	4,5	6,0	5,5
11,99	3,73	4,5	6,0	5,5
12,01	3,72	4,5	6,0	5,5
12,03	3,73	4,5	6,0	5,5
12,06	3,75	4,5	6,0	5,5
12,08	3,73	4,5	6,0	5,5
12,11	3,72	4,5	6,0	5,5
12,13	3,74	4,5	6,0	5,5
12,16	3,75	4,5	6,0	5,5
12,18	3,74	4,5	6,0	5,5
12,21	3,75	4,5	6,0	5,5
12,23	3,77	4,5	6,0	5,5
12,25	3,77	4,5	6,0	5,5
12,28	3,75	4,5	6,0	5,5
12,30	3,77	4,5	6,0	5,5
12,33	3,78	4,5	6,0	5,5
12,35	3,76	4,5	6,0	5,5
12,38	3,76	4,5	6,0	5,5
12,40	3,78	4,5	6,0	5,5
12,42	3,78	4,5	6,0	5,5
12,45	3,76	4,5	6,0	5,5
12,47	3,78	4,5	6,0	5,5
12,50	3,79	4,5	6,0	5,5
12,52	3,78	4,5	6,0	5,5
12,55	3,78	4,5	6,0	5,5
12,57	3,80	4,5	6,0	5,5
12,60	3,81	4,5	6,0	5,5
12,62	3,79	4,5	6,0	5,5
12,64	3,81	4,5	6,0	5,5
12,67	3,83	4,5	6,0	5,5
12,69	3,82	4,5	6,0	5,5
12,72	3,82	4,5	6,0	5,5
12,74	3,84	4,5	6,0	5,5
12,77	3,84	4,5	6,0	5,5
12,79	3,82	4,5	6,0	5,5
12,82	3,83	4,5	6,0	5,5
12,84	3,86	4,5	6,0	5,5
12,86	3,84	4,5	6,0	5,5
12,89	3,84	4,5	6,0	5,5
12,91	3,86	4,5	6,0	5,5
12,94	3,86	4,5	6,0	5,5
12,96	3,84	4,5	6,0	5,5
12,99	3,86	4,5	6,0	5,5
13,01	3,88	4,5	6,0	5,5
13,04	3,87	4,5	6,0	5,5
13,06	3,85	4,5	6,0	5,5
13,08	3,87	4,5	6,0	5,5
13,11	3,88	4,5	6,0	5,5
13,13	3,86	4,5	6,0	5,5
13,16	3,86	4,5	6,0	5,5
13,18	3,88	4,5	6,0	5,5
13,21	3,86	4,5	6,0	5,5
13,23	3,84	4,5	6,0	5,5
13,26	3,85	4,5	6,0	5,5
13,28	3,86	4,5	6,0	5,5
13,30	3,84	4,5	6,0	5,5
13,33	3,83	4,5	6,0	5,5
13,35	3,84	4,5	6,0	5,5
13,38	3,82	4,5	6,0	5,5
13,40	3,79	4,5	6,0	5,5
13,43	3,79	4,5	6,0	5,5
13,45	3,80	4,5	6,0	5,5
13,47	3,77	4,5	6,0	5,5
13,50	3,75	4,5	6,0	5,5
13,52	3,76	4,5	6,0	5,5
13,55	3,73	4,5	6,0	5,5
13,57	3,69	4,5	6,0	5,5
13,60	3,69	4,5	6,0	5,5
13,62	3,68	4,5	6,0	5,5
13,65	3,64	4,5	6,0	5,5
13,67	3,61	4,5	6,0	5,5
13,69	3,61	4,5	6,0	5,5
13,72	3,59	4,5	6,0	5,5
13,74	3,55	4,5	6,0	5,5
13,77	3,54	4,5	6,0	5,5
13,79	3,53	4,5	6,0	5,5
13,82	3,48	4,5	6,0	5,5
13,84	3,44	4,5	6,0	5,5
13,87	3,43	4,5	6,0	5,5
13,89	3,41	4,5	6,0	5,5
13,91	3,37	4,5	6,0	5,5
13,94	3,34	4,5	6,0	5,5
13,96	3,32	4,5	6,0	5,5
13,99	3,28	4,5	6,0	5,5
14,01	3,23	4,5	6,0	5,5
14,04	3,22	4,5	6,0	5,5
14,06	3,18	4,5	6,0	5,5
14,09	3,13	4,5	6,0	5,5
14,11	3,09	4,5	6,0	5,5
14,13	3,07	4,5	6,0	5,5
14,16	3,03	4,5	6,0	5,5
14,18	2,97	4,5	6,0	5,5
14,21	2,95	4,5	6,0	5,5
14,23	2,92	4,5	6,0	5,5
14,26	2,86	4,5	6,0	5,5
14,28	2,82	4,5	6,0	5,5
14,31	2,79	4,5	6,0	5,5
14,33	2,75	4,5	6,0	5,5
14,35	2,69	4,5	6,0	5,5
14,38	2,66	4,5	6,0	5,5
14,40	2,63	4,5	6,0	5,5
14,43	2,57	4,5	6,0	5,5
14,45	2,52	4,5	6,0	5,5
14,48	2,49	4,5	6,0	5,5
14,50	2,44	4,5	6,0	5,5
14,52	2,37	4,5	6,0	5,5
14,55	2,34	4,5	6,0	5,5
14,57	2,32	4,5	6,0	5,5
14,60	2,26	4,5	6,0	5,5
14,62	2,21	4,5	6,0	5,5
14,65	2,19	4,5	6,0	5,5
14,67	2,15	4,5	6,0	5,5
14,70	2,09	4,5	6,0	5,5
14,72	2,06	4,5	6,0	5,5
14,74	2,03	4,5	6,0	5,5
14,77	1,98	4,5	6,0	5,5
14,79	1,92	4,5	6,0	5,5
14,82	1,89	4,5	6,0	5,5
14,84	1,86	4,5	6,0	5,5
14,87	1,80	4,5	6,0	5,5
14,89	1,76	4,5	6,0	5,5
14,92	1,73	4,5	6,0	5,5
14,94	1,68	4,5	6,0	5,5
14,96	1,63	4,5	6,0	5,5
14,99	1,60	4,5	6,0	5,5
15,01	1,58	4,5	6,0	5,5
15,04	1,52	4,5	6,0	5,5
15,06	1,49	4,5	6,0	5,5
15,09	1,48	4,5	6,0	5,5
15,11	1,43	4,5	6,0	5,5
15,14	1,37	4,5	6,0	5,5
15,16	1,35	4,5	6,0	5,5
15,18	1,33	4,5	6,0	5,5
15,21	1,28	4,5	6,0	5,5
15,23	1,24	4,5	6,0	5,5
15,26	1,22	4,5	6,0	5,5
15,28	1,18	4,5	6,0	5,5
15,31	1,13	4,5	6,0	5,5
15,33	1,10	4,5	6,0	5,5
15,36	1,09	4,5	6,0	5,5
15,38	1,04	4,5	6,0	5,5
15,40	0,99	4,5	6,0	5,5
15,43	0,98	4,5	6,0	5,5
15,45	0,96	4,5	6,0	5,5
15,48	0,92	4,5	6,0	5,5
15,50	0,90	4,5	6,0	5,5
15,53	0,89	4,5	6,0	5,5
15,55	0,86	4,5	6,0	5,5
15,57	0,82	4,5	6,0	5,5
15,60	0,81	4,5	6,0	5,5
