Distance_(pixels),Gray_Value
491,163.667
492,157.667
493,156.667
494,157.667
495,153.667
496,143.667
497,131.667
498,111.333
499,89.333
500,66.333
501,42.333
502,21.667
503,14.667
504,14.667
505,15.667
506,17.333
507,17.333
508,19.667
509,16.667
510,15.667
511,18.667
512,28.667
513,34.667
514,45.333
515,71.333
516,97.667
517,123.667
518,146.667
519,153.667
520,162.667
521,165.667
522,159.667
523,166.667
524,170.667
525,169.667
526,169.667
527,170.667
528,171.667
529,172.667
530,171.667
531,171.667
532,171.667
533,172.667
534,170.667
535,172.667
536,169.667
537,167.333
538,167.667
539,156.667
540,136.333
541,114.333
542,90.333
543,66.333
544,50.667
545,40.667
546,26.667
547,20.667
548,20.667
549,19.333
550,21.333
551,20.667
552,23.667
553,28.667
554,34.333
555,48.333
556,84.333
557,112.333
558,134.667
559,146.667
560,161.667
561,168.667
562,165.333
563,162.333
564,162.333
565,154.333
566,148.333
567,137.333
568,120.333
569,104.333
570,78.333
571,49.333
572,41.333
573,31.333
574,22.333
575,18.333
576,17.333
577,14.333
578,14.333
579,16.333
580,20.333
581,28.333
582,46.333
583,72.333
584,100.333
585,121.333
586,139.333
587,154.333
588,162.333
589,158.333
590,163.333
591,160.333
592,164.333
593,159.333
594,156.333
595,141.333
596,116.333
597,90.333
598,62.333
599,42.333
600,28.333
601,19.333
602,17.333
603,17.333
604,19.333
605,23.333
606,21.333
607,23.667
608,31.667
609,37.667
610,46.667
611,61.667
612,95.333
613,131.333
614,152.667
615,155.667
616,162.333
617,168.333
618,167.667
619,168.667
620,171.667
621,171.667
622,172.667
623,173.667
624,174.667
625,175.667
626,175.000
627,175.000
628,175.333
629,175.667
630,176.667
631,176.667
632,175.667
633,176.000
634,175.000
635,175.000
636,175.333
637,175.333
638,176.333
639,176.333
640,177.333
641,178.333
642,177.333
643,176.333
644,179.000
645,179.000
646,179.000
647,177.333
